# Instance: eil76.tsp
# Method: hill-climbing
# Neighborhood: swap
# output: step cost
0 2714
0.000000 2553
0.001000 2414
0.001000 2287
0.002000 2181
0.002000 2082
0.003000 1984
0.003000 1898
0.004000 1823
0.004000 1753
0.005000 1691
0.005000 1633
0.006000 1585
0.006000 1540
0.007000 1498
0.007000 1471
0.008000 1444
0.008000 1417
0.009000 1391
0.009000 1367
0.010000 1344
0.010000 1324
0.011000 1305
0.011000 1287
0.012000 1271
0.013000 1256
0.013000 1241
0.014000 1226
0.015000 1212
0.015000 1190
0.016000 1176
0.016000 1164
0.017000 1145
0.017000 1134
0.018000 1119
0.019000 1109
0.019000 1099
0.019000 1090
0.020000 1081
0.021000 1072
0.021000 1063
0.022000 1055
0.022000 1038
0.023000 1020
0.023000 1013
0.024000 1007
0.024000 1002
0.025000 997
0.025000 991
0.026000 986
0.026000 980
0.027000 976
0.027000 972
0.028000 969
0.028000 967
0.029000 966
0.030000 958
0.030000 957
0.031000 956
0.031000 953
0.032000 947
0.032000 942
0.033000 936
0.033000 930
0.034000 926
0.034000 922
0.035000 914
0.035000 911
0.036000 908
0.036000 903
0.036000 900
0.037000 897
0.037000 894
0.038000 887
0.038000 881
0.039000 877
0.039000 861
0.040000 855
0.040000 850
0.041000 848
0.041000 841
0.042000 823
0.042000 819
0.043000 815
0.043000 814
0.044000 805
0.044000 800
0.045000 796
0.045000 790
0.046000 781
0.046000 780
0.047000 779
0.047000 774
# Final Best Cost: 774
