# Instance: eil76.tsp
# Method: hill-climbing
# Neighborhood: swap
# output: step cost
0 2566
0.000000 2349
0.001000 2202
0.001000 2062
0.002000 1942
0.002000 1830
0.003000 1750
0.003000 1681
0.003000 1613
0.004000 1548
0.004000 1487
0.005000 1435
0.005000 1392
0.006000 1350
0.006000 1314
0.007000 1281
0.007000 1258
0.008000 1239
0.008000 1212
0.009000 1195
0.009000 1178
0.009000 1162
0.010000 1134
0.010000 1119
0.011000 1107
0.011000 1096
0.012000 1085
0.012000 1075
0.013000 1062
0.013000 1053
0.014000 1042
0.014000 1032
0.015000 1022
0.015000 1002
0.016000 991
0.016000 982
0.017000 974
0.017000 966
0.018000 958
0.018000 952
0.019000 945
0.019000 939
0.020000 932
0.020000 926
0.021000 922
0.021000 917
0.022000 912
0.022000 906
0.023000 901
0.023000 891
0.023000 887
0.024000 883
0.024000 879
0.025000 875
0.025000 872
0.026000 870
0.026000 868
0.027000 866
0.027000 864
0.028000 863
# Final Best Cost: 863
