# Instance: eil101.tsp
# Method: hill-climbing
# Neighborhood: 2-opt
# output: step cost
0 3546
0.001000 3446
0.002000 3346
0.004000 3250
0.005000 3161
0.006000 3075
0.008000 2990
0.009000 2893
0.011000 2809
0.012000 2729
0.014000 2646
0.015000 2564
0.017000 2484
0.018000 2405
0.020000 2328
0.021000 2250
0.023000 2176
0.024000 2110
0.026000 2047
0.027000 1984
0.029000 1923
0.030000 1872
0.032000 1814
0.033000 1768
0.035000 1722
0.036000 1676
0.038000 1616
0.039000 1561
0.041000 1516
0.042000 1476
0.044000 1438
0.045000 1401
0.047000 1365
0.048000 1331
0.050000 1296
0.051000 1264
0.053000 1235
0.055000 1202
0.056000 1173
0.057000 1146
0.059000 1119
0.060000 1097
0.062000 1075
0.063000 1056
0.065000 1039
0.066000 1025
0.068000 1010
0.069000 991
0.071000 971
0.072000 956
0.074000 943
0.075000 931
0.077000 920
0.078000 909
0.080000 898
0.081000 887
0.082000 876
0.084000 867
0.085000 856
0.087000 847
0.088000 839
0.090000 831
0.091000 823
0.093000 815
0.094000 807
0.096000 799
0.097000 791
0.099000 784
0.100000 772
0.102000 764
0.103000 757
0.105000 750
0.106000 744
0.108000 739
0.109000 734
0.110000 729
0.112000 724
0.113000 720
0.115000 716
0.116000 712
0.118000 709
0.119000 706
0.121000 703
0.122000 698
0.124000 695
0.125000 689
0.127000 687
0.128000 685
0.129000 684
0.131000 682
0.132000 679
0.134000 678
0.135000 672
0.137000 671
# Final Best Cost: 671
