# Instance: eil51.tsp
# Method: hill-climbing
# Neighborhood: swap
# output: step cost
0 1510
0.000000 1381
0.000000 1301
0.001000 1232
0.001000 1126
0.001000 1081
0.001000 1046
0.001000 1006
0.001000 974
0.002000 944
0.002000 895
0.002000 870
0.002000 849
0.002000 831
0.002000 816
0.002000 794
0.003000 780
0.003000 767
0.003000 755
0.003000 743
0.003000 734
0.003000 725
0.003000 718
0.004000 712
0.004000 697
0.004000 692
0.004000 688
0.004000 684
0.004000 682
0.005000 680
0.005000 679
0.005000 678
# Final Best Cost: 678
