# Instance: eil51.tsp
# Method: hill-climbing
# Neighborhood: 2-opt
# output: step cost
0 1432
0.000000 1345
0.000000 1269
0.000000 1215
0.001000 1155
0.001000 1110
0.001000 1066
0.001000 1015
0.001000 965
0.002000 919
0.002000 882
0.002000 852
0.002000 822
0.002000 789
0.002000 762
0.003000 738
0.003000 709
0.003000 685
0.003000 663
0.003000 643
0.004000 623
0.004000 606
0.004000 590
0.004000 575
0.004000 560
0.004000 547
0.005000 531
0.005000 519
0.005000 509
0.005000 500
0.005000 492
0.005000 484
0.006000 478
0.006000 472
0.006000 467
0.006000 463
0.006000 459
0.007000 456
0.007000 455
0.007000 454
# Final Best Cost: 454
